PID: COMMAND
378: /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
383: /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
385: /System/Library/CoreServices/CrashReporterSupportHelper
395: /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
412: /System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent
413: /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
414: /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
415: /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
419: /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
423: /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri
424: /Applications/JetBrains
427: /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent
428: /System/Library/CoreServices/cloudpaird
430: /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
432: /System/Library/CoreServices/diagnostics_agent
435: /System/Library/CoreServices/backgroundtaskmanagementagent
438: /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
439: /System/Library/CoreServices/Menu
450: /Applications/Kite.app/Contents/MacOS/Kite
457: /Applications/JetBrains
495: /usr/libexec/taskgated
498: /Applications/JetBrains
562: /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
612: /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
615: /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
623: /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/Resources/SimStreamProcessorServices.simdeviceio/Contents/XPCServices/SimStreamProcessorService.xpc/Contents/MacOS/SimStreamProcessorService
626: /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/Resources/SimAudioProcessorServices.simdeviceio/Contents/XPCServices/SimAudioProcessorService.xpc/Contents/MacOS/SimAudioProcessorService
959: /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
961: /usr/libexec/USBAgent
